event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response,dataset_id,age_column,pick_column,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_fraction,pre_phase_extrapolated,phase_rad,phase_deg,phase_extrapolated,orbital_value_at_event
11.4024076132,1,0,10,1,Barker_S3_010,Barker event 1,Barker2011,11.4024076132,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,-0.0196108129897,25.1185016199,6.26894569834,359.184130512,0.997733695866,False,6.26894569834,359.184130512,False,-0.0196108129897
14.5729053939,1,1,11,2,Barker_S3_011,Barker event 2,Barker2011,14.5729053939,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,-0.0124999872128,26.0328234896,0.900082260861,51.5709147619,0.143252541005,False,0.900082260861,51.5709147619,False,-0.0124999872128
29.8311524984,1,3,13,3,Barker_S3_013,Barker event 3,Barker2011,29.8311524984,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,-0.0078560025438,30.372792251,5.24005102228,300.23280801,0.833980022249,False,5.24005102228,300.23280801,False,-0.0078560025438
32.9197230595,1,4,14,4,Barker_S3_014,Barker event 4,Barker2011,32.9197230595,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,-0.0150330172192,31.2391342675,6.10639303877,349.87054917,0.971862636583,False,6.10639303877,349.87054917,False,-0.0150330172192
33.8926923077,1,5,15,5,Barker_S3_015,Barker event 5,Barker2011,33.8926923077,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,-0.0151834846154,31.4956746571,0.0797481212065,4.56923076923,0.0126923076923,False,0.0797481212065,4.56923076923,False,-0.0151834846154
35.3984236346,1,6,16,6,Barker_S3_016,Barker event 6,Barker2011,35.3984236346,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,-0.0135623532214,31.8460742478,0.430147711941,24.6456484614,0.068460134615,False,0.430147711941,24.6456484614,False,-0.0135623532214
37.4592853868,1,7,17,7,Barker_S3_017,Barker event 7,Barker2011,37.4592853868,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,-0.00853770096275,32.3256585546,0.909732018668,52.1238051576,0.14478834766,False,0.909732018668,52.1238051576,False,-0.00853770096275
38.5661048711,1,8,18,8,Barker_S3_018,Barker event 8,Barker2011,38.5661048711,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,-0.00501572658453,32.5832271442,1.16730060834,66.8813982808,0.185781661891,False,1.16730060834,66.8813982808,False,-0.00501572658453
41.7,1,9,19,9,Barker_S3_019,Barker event 9,Barker2011,41.7,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,0.0052045,33.3125176564,1.8965911205,108.666666667,0.301851851852,False,1.8965911205,108.666666667,False,0.0052045
43.6936849315,1,10,20,10,Barker_S3_020,Barker event 10,Barker2011,43.6936849315,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_fixed_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick,0.0102918646575,33.7764692071,2.3605426712,135.24913242,0.3756920345,False,2.3605426712,135.24913242,False,0.0102918646575
