dataset_id,dataset_label,model_id,term,beta,rate_ratio_per_unit
mis6_warming,MIS 6 composite warming events,history_climate,intercept,-1.063493686681616,0.3452475142127878
mis6_warming,MIS 6 composite warming events,history_climate,same_type_history_count,-0.017116411491921415,0.9830292420731521
mis6_warming,MIS 6 composite warming events,history_climate,lr04_scaled,-0.22542365824594096,0.7981779924300276
mis6_warming,MIS 6 composite warming events,history_climate,co2_scaled,-0.48014397122383773,0.6186943112166067
mis6_warming,MIS 6 composite warming events,history_climate_precession,intercept,-0.6756627780789359,0.5088190746983068
mis6_warming,MIS 6 composite warming events,history_climate_precession,same_type_history_count,-0.30780355517181784,0.7350597025037727
mis6_warming,MIS 6 composite warming events,history_climate_precession,lr04_scaled,0.6845451720229291,1.982869765765068
mis6_warming,MIS 6 composite warming events,history_climate_precession,co2_scaled,-0.30498529074698993,0.7371342170055845
mis6_warming,MIS 6 composite warming events,history_climate_precession,pre_phase_sin,-0.6804505923845456,0.5063887660293342
mis6_warming,MIS 6 composite warming events,history_climate_precession,pre_phase_cos,0.7644206166050619,2.147749643621795
