control_id,record_id,cave,stalagmite_id,dating_sample_id,depth_mm,age_ka_bp,age_error_2sigma_ka,uncertainty_level,age_model_method,a_plus_use,used_for_event_ids,bracket_role,source_study,source_filename,source_locator,source_unit_note,shown_in_composite_figure
HUA_P10H2_D135,Huagapo,Huagapo Cave,P10-H2,not listed separately,135.000000,177.519000,0.567000,2sigma,linear interpolation between U-Th dates,direct interpolation of the reported 2sigma error,MIS6_DO_17,younger,Burns et al. (2019),41598_2018_37854_MOESM1_ESM.pdf,"Supplementary Table S1, p. 3",age and error converted from yr BP to Kyr BP,True
HUA_P10H2_D180,Huagapo,Huagapo Cave,P10-H2,not listed separately,180.000000,179.429000,0.819000,2sigma,linear interpolation between U-Th dates,direct interpolation of the reported 2sigma error,MIS6_DO_17,older,Burns et al. (2019),41598_2018_37854_MOESM1_ESM.pdf,"Supplementary Table S1, p. 3",age and error converted from yr BP to Kyr BP,True
HUA_P10H2_D503,Huagapo,Huagapo Cave,P10-H2,not listed separately,503.000000,190.419000,0.575000,2sigma,linear interpolation between U-Th dates,direct interpolation of the reported 2sigma error,MIS6_DO_20,younger,Burns et al. (2019),41598_2018_37854_MOESM1_ESM.pdf,"Supplementary Table S1, p. 3",age and error converted from yr BP to Kyr BP,True
HUA_P10H2_D595,Huagapo,Huagapo Cave,P10-H2,not listed separately,595.000000,190.909000,0.667000,2sigma,linear interpolation between U-Th dates,direct interpolation of the reported 2sigma error,MIS6_DO_20,older,Burns et al. (2019),41598_2018_37854_MOESM1_ESM.pdf,"Supplementary Table S1, p. 3",age and error converted from yr BP to Kyr BP,True
HUA_P10H2_D902,Huagapo,Huagapo Cave,P10-H2,not listed separately,902.000000,194.262000,0.674000,2sigma,linear interpolation between U-Th dates,direct interpolation of the reported 2sigma error,MIS6_DO_21,younger,Burns et al. (2019),41598_2018_37854_MOESM1_ESM.pdf,"Supplementary Table S1, p. 3",age and error converted from yr BP to Kyr BP,True
HUA_P10H2_D1005,Huagapo,Huagapo Cave,P10-H2,not listed separately,1005.000000,195.931000,0.783000,2sigma,linear interpolation between U-Th dates,direct interpolation of the reported 2sigma error,MIS6_DO_21,older,Burns et al. (2019),41598_2018_37854_MOESM1_ESM.pdf,"Supplementary Table S1, p. 3",age and error converted from yr BP to Kyr BP,True
SOF_SO4_M9,Sofular,Sofular Cave,So-4,So4-M9,967.000000,176.102399,0.702634,2sigma,U-Th controls for individual StalAge models; composite stack developed with iscam,supports this study's fixed local 1sigma approximation of 0.375 Kyr; not a published stack uncertainty,MIS6_DO_18,younger,Held et al. (2024),41467_2024_45507_MOESM3_ESM.xlsx,U_Th_Dating!O95:P97; row 142 states 2sigma,reported corrected age and 2sigma error in Kyr,False
SOF_SO4_M10,Sofular,Sofular Cave,So-4,So4-M10,1014.000000,179.935830,0.670912,2sigma,U-Th controls for individual StalAge models; composite stack developed with iscam,supports this study's fixed local 1sigma approximation of 0.375 Kyr; not a published stack uncertainty,MIS6_DO_18;MIS6_DO_19,older for 18; younger for 19,Held et al. (2024),41467_2024_45507_MOESM3_ESM.xlsx,U_Th_Dating!O95:P97; row 142 states 2sigma,reported corrected age and 2sigma error in Kyr,True
SOF_SO4_M23,Sofular,Sofular Cave,So-4,So4-M23,1045.000000,180.513866,0.775462,2sigma,U-Th controls for individual StalAge models; composite stack developed with iscam,supports this study's fixed local 1sigma approximation of 0.375 Kyr; not a published stack uncertainty,MIS6_DO_19,older,Held et al. (2024),41467_2024_45507_MOESM3_ESM.xlsx,U_Th_Dating!O95:P97; row 142 states 2sigma,reported corrected age and 2sigma error in Kyr,True
SOF_SO57_3,Sofular,Sofular Cave,So-57,So57-3,377.500000,177.120951,0.698652,2sigma,U-Th controls for individual StalAge models; composite stack developed with iscam,supports this study's fixed local 1sigma approximation of 0.375 Kyr; not a published stack uncertainty,MIS6_DO_18,younger,Held et al. (2024),41467_2024_45507_MOESM3_ESM.xlsx,U_Th_Dating!O135:P137; row 142 states 2sigma,source cells converted from yr to Kyr,False
SOF_SO57_4,Sofular,Sofular Cave,So-57,So57-4,485.000000,180.207207,0.600960,2sigma,U-Th controls for individual StalAge models; composite stack developed with iscam,supports this study's fixed local 1sigma approximation of 0.375 Kyr; not a published stack uncertainty,MIS6_DO_18;MIS6_DO_19,older for 18; younger for 19,Held et al. (2024),41467_2024_45507_MOESM3_ESM.xlsx,U_Th_Dating!O135:P137; row 142 states 2sigma,source cells converted from yr to Kyr,True
SOF_SO57_5,Sofular,Sofular Cave,So-57,So57-5,602.000000,183.192722,0.722279,2sigma,U-Th controls for individual StalAge models; composite stack developed with iscam,supports this study's fixed local 1sigma approximation of 0.375 Kyr; not a published stack uncertainty,MIS6_DO_19,older,Held et al. (2024),41467_2024_45507_MOESM3_ESM.xlsx,U_Th_Dating!O135:P137; row 142 states 2sigma,source cells converted from yr to Kyr,False
